Id,Time,Number_of_Casualties,Day_of_Week,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,Junction_Detail,Number_of_Vehicles,Accident_Severity,kmeans5_cluster,gaussian_cluster,agglomerative_cluster
0,1,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
1,1,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
2,2,1,2.0,6,30.0,1,1,1,1,1,3,1,3,2,4,0
3,2,2,1.0,6,30.0,1,1,1,1,1,6,1,2,2,0,0
4,1,2,1.0,6,30.0,1,1,1,1,1,6,1,3,2,0,0
5,2,2,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
6,2,1,2.0,6,30.0,1,1,1,1,1,0,1,2,2,4,0
7,2,1,1.0,3,30.0,4,1,1,1,1,0,1,3,0,3,0
8,3,1,1.0,3,30.0,4,1,2,1,1,3,1,3,3,3,0
9,2,1,2.0,3,30.0,1,1,1,1,1,6,1,3,0,4,0
10,2,1,1.0,1,30.0,1,1,1,1,2,1,1,3,0,0,0
11,1,1,1.0,6,30.0,1,1,1,1,2,6,1,2,2,0,0
12,1,1,1.0,6,30.0,1,1,1,1,2,3,1,3,2,0,0
13,1,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
14,1,1,1.0,6,30.0,1,9,1,1,1,3,1,3,4,0,0
15,3,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
16,1,1,1.0,6,30.0,1,1,1,1,1,6,1,3,2,0,0
17,1,1,1.0,6,30.0,1,1,2,1,1,3,1,3,2,0,0
18,3,1,1.0,6,30.0,4,1,1,1,1,0,1,3,3,5,0
19,3,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
21,1,1,1.0,6,30.0,1,1,1,1,2,0,1,3,2,0,0
22,1,2,1.0,3,30.0,1,1,1,1,1,0,1,3,0,0,0
23,2,2,2.0,6,30.0,1,1,1,1,2,3,1,3,2,4,0
24,1,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
25,2,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
26,3,1,2.0,6,30.0,1,1,1,1,1,0,1,3,2,4,0
27,2,2,1.0,6,30.0,1,1,1,1,1,3,1,2,2,0,0
28,3,1,1.0,6,30.0,1,2,2,1,1,6,1,3,2,0,0
29,3,1,1.0,6,30.0,1,1,1,1,1,6,1,3,2,0,0
30,2,1,1.0,6,30.0,4,1,1,1,1,7,1,2,3,5,0
31,1,1,1.0,6,30.0,1,1,2,1,1,3,1,3,2,0,0
32,2,1,2.0,6,30.0,1,1,1,1,1,3,1,3,2,4,0
33,1,1,1.0,1,30.0,1,1,1,1,1,1,1,3,0,0,0
34,3,2,2.0,6,30.0,4,1,1,1,2,3,1,3,3,5,0
35,3,1,2.0,6,30.0,4,1,1,1,1,0,1,3,3,5,0
37,1,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
38,3,2,2.0,6,30.0,1,2,2,1,1,3,1,2,2,4,0
39,2,1,2.0,6,30.0,1,1,1,1,1,0,1,3,2,4,0
40,2,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
41,2,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
42,1,1,1.0,6,30.0,1,1,1,1,2,0,1,2,2,0,0
43,1,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
44,1,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
45,1,1,1.0,3,50.0,1,1,1,1,2,0,1,3,0,0,0
46,1,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
47,3,1,1.0,6,30.0,1,1,1,1,1,6,1,2,2,0,0
48,3,1,2.0,6,30.0,4,2,2,2,1,0,1,1,3,1,0
49,2,2,2.0,6,30.0,1,1,1,1,1,3,2,1,2,4,0
50,1,1,1.0,6,30.0,1,1,1,1,2,0,1,2,2,0,0
51,1,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
52,3,2,1.0,3,30.0,1,1,1,1,1,3,1,2,0,0,0
53,2,1,1.0,6,30.0,1,1,1,1,1,0,1,3,2,0,0
54,1,1,1.0,6,30.0,1,4,1,1,2,0,1,3,2,0,0
55,1,1,1.0,6,30.0,1,1,1,1,2,3,1,3,2,0,0
56,1,1,1.0,6,60.0,1,1,2,2,1,0,1,2,1,6,1
57,3,1,1.0,6,30.0,4,1,1,1,1,0,1,3,3,5,0
58,3,1,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
59,2,1,1.0,6,60.0,1,1,1,2,2,0,1,3,1,6,1
60,2,1,1.0,6,30.0,1,1,1,2,1,0,1,1,1,6,1
61,2,1,1.0,6,60.0,1,1,1,2,1,0,1,2,1,6,1
62,1,1,1.0,6,40.0,1,1,1,1,1,7,1,2,2,0,0
63,1,1,1.0,6,30.0,1,2,2,1,1,3,1,3,2,0,0
64,2,2,1.0,6,30.0,1,1,1,1,1,3,1,3,2,0,0
65,1,1,1.0,6,30.0,1,2,2,1,1,3,1,2,2,0,0
66,2,1,1.0,6,30.0,1,1,1,1,2,0,1,3,2,0,0
67,2,1,1.0,3,30.0,1,1,1,1,2,0,1,2,0,0,0
68,2,1,1.0,6,30.0,1,1,1,1,2,3,1,3,2,0,0
69,2,1,1.0,6,30.0,1,1,1,1,2,9,1,3,2,0,0
70,2,1,1.0,2,30.0,1,1,1,1,1,3,1,3,0,0,0
72,2,1,1.0,6,60.0,1,1,1,2,1,0,1,3,1,6,1
73,1,1,1.0,6,60.0,1,1,1,2,1,0,1,3,1,6,1
74,3,1,1.0,6,30.0,1,1,1,1,1,0,1,2,2,0,0
75,3,1,1.0,6,30.0,4,1,2,1,1,9,1,2,3,5,0
76,1,1,2.0,6,30.0,1,1,1,1,1,0,1,3,2,4,0
77,3,1,1.0,6,30.0,1,1,1,1,1,3,1,2,2,0,0
78,2,1,1.0,6,30.0,1,1,2,1,1,3,1,3,2,0,0
79,3,1,1.0,6,60.0,1,1,1,2,1,0,1,2,1,6,1
80,2,1,1.0,6,60.0,1,1,1,2,1,0,1,2,1,6,1
81,3,1,2.0,6,30.0,4,1,1,1,1,0,1,3,3,5,0
82,2,1,1.0,6,30.0,1,1,1,1,1,0,1,2,2,0,0
83,3,1,2.0,6,50.0,4,2,2,1,1,3,1,3,3,1,0
84,2,1,1.0,6,30.0,1,1,1,1,2,3,1,3,2,0,0
85,3,1,1.0,1,50.0,4,1,1,2,1,1,1,3,0,3,0
86,2,1,2.0,6,30.0,1,1,2,2,1,3,1,2,1,6,1
87,4,1,1.0,6,30.0,4,1,1,1,1,0,1,3,3,5,0
88,2,1,2.0,3,70.0,1,1,1,2,1,0,1,1,1,6,1
89,1,1,1.0,6,30.0,1,1,2,1,2,3,1,3,2,0,0
90,3,1,1.0,6,30.0,4,2,2,1,1,0,1,2,3,1,0
91,3,1,1.0,6,30.0,4,1,1,1,1,0,1,3,3,5,0
92,2,2,1.0,2,30.0,1,1,1,1,1,0,1,2,0,0,0
